1901	赵一	人工智能	1903001	1101
1902	钱二	人工智能	1903001	1101
1903	孙三	物联网	1903001	1101
1904	李五	计算机科学	1903001	1102
1905	周六	计算机科学	1903001	1102
1906	吴七	生物信息	1903002	1103
1907	郑八	信息安全	1903002	1103
1908	王八	软件工程	1903002	1103
1909	冯九	软件工程	1903002	1103
1910	严十	信息安全	1903002	4101
1911	陈一	数据科学	1903003	4101
1912	褚二	计算机科学	1903003	4102
1913	卫三	计算机科学	1903003	4101
1914	蒋四	数据科学	1903003	4102
1915	沈五	人工智能	1903003	2101
1916	韩六	软件工程	1903004	2101
1917	杨七	信息安全	1903004	2101
1918	朱八	物联网	1903004	3102
1919	尤九	信息安全	1903004	3102
1920	许十	信息安全	1903004	3102
