张红	1901	黑龙江	34.23	1801	01
卡莎	1902	虚空	56.34	1801	01
格温	1903	暗影岛	23	1801	01
艾克	1904	祖安	27	1801	01
杰斯	1905	皮城	87.23	1801	01
潘森	1906	巨神峰	14	1802	01
盖伦	1907	德玛西亚	65	1802	01
赵信	1908	德玛西亚	59	1802	01
提莫	1909	班德尔城	34.45	1802	01
亚索	1910	艾欧尼亚	9.18	1802	01
卢仙	1911	暗影岛	55.21	1803	02
张三	1912	北京	30.34	1803	02
李四	1913	上海	44.23	1803	02
王五	1914	天津	22.45	1803	02
赵一	1915	河北	26.56	1803	02
钱二	1916	山西	65	1804	03
孙六	1917	辽宁	46	1804	03
周七	1918	吉林	89	1804	03
吴八	1919	江苏	98	1804	03
郑九	1920	浙江	23	1804	03
王十	1921	安徽	67	1805	04
冯一	1922	福建	45	1805	04
陈二	1923	台湾	36	1805	04
褚三	1924	江西	81	1805	04
卫四	1925	山东	45	1805	04
蒋五	1926	河南	27	1806	05
沈六	1927	湖北	47.56	1806	05
韩七	1928	湖南	34	1806	05
杨八	1929	广东	47	1806	05
朱九	1930	海南	39	1806	05
秦十	1931	四川	38	1807	01
尤一	1932	贵州	37	1807	01
许二	1933	云南	34	1807	01
何三	1934	陕西	56	1807	01
吕四	1935	甘肃	28	1807	01
施五	1936	青海	17	1808	02
张六	1937	重庆	16	1808	02
孔七	1938	西藏	3	1808	02
曹八	1939	宁夏	5.89	1808	02
严九	1940	新疆	61	1808	02
华十	1941	香港	79	1809	03
金一	1942	澳门	69	1809	03
魏二	1943	黑龙江	65.8	1809	03
陶三	1944	江苏	94.3	1809	03
姜四	1945	黑龙江	44	1809	03
谢五	1946	北京	48.09	1810	04
鲁六	1947	黑龙江	32	1810	04
苏七	1948	上海	78	1810	04
马八	1949	黑龙江	26	1810	04
方九	1950	黑龙江	21	1810	04
